X,Y,Name,Descricao,icon_url
-46.554242,-23.686547,A15,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-46.54289,-23.69081,A16,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-46.581164,-23.696871,A17,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-46.567827,-23.695322,A18,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-46.559462,-23.694914,A19,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-46.541965,-23.693904,A20,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-46.574173,-23.703109,A21,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-46.554678,-23.70394,A22,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-46.547084,-23.704538,A23,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-46.54243,-23.700965,A24,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-46.554954,-23.707722,A25,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-46.552077,-23.708981,A26,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-46.540745,-23.711369,A27,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-46.557511,-23.713841,A28,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-46.547678,-23.715384,A29,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-46.54956,-23.718687,A31,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-46.540695,-23.715484,A32,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-46.533394,-23.72231,A33,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-46.574855,-23.680503,A34,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-46.584174,-23.705224,A35,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-46.568001,-23.718677,A36,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-46.575625,-23.721339,A37,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-46.562382,-23.724055,A38,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-46.598671,-23.657132,A39,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-46.608072,-23.664411,A40,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
